,pos,neg,total
Popular Hollywood Marilyn Monroe Suite,0.42046099290780137,-0.04689039718451484,0.119515022015022
Dream Hollywood,0.41783388354026324,-0.0039034865382449034,0.21420053162015804
Downtown Cosmopolitan Suites,0.3581989301792674,0.07773449403605656,0.25747044388570833
Downtown LA Convention Center Suite,0.32924501424501434,0.005797479538690481,0.13321620533209078
Global Luxury Suites at Marina Del Rey,0.5642592592592591,-0.08836529982363318,0.19133093978332075
"New Luxury DT LA Apt- Pool, Gym, Staple center",0.4121582397003746,0.09287469287469288,0.3193056307118808
Venice Suites,0.44757356766329676,0.034646792510611896,0.27697202907982926
Courtyard by Marriott Santa Monica,0.3786224833367691,-0.024245884269469182,0.2049745269072715
Ramada by Wyndham Marina del Rey,0.3959941665871837,0.014645925634152077,0.23785423988821772
Downtown Highrise Luxury Living,0.4277777777777778,0.4,0.4227272727272728
Sunset Marquis Hotel,0.4398568193112395,-0.011042535602855365,0.2942930584486436
The Orlando Hotel,0.4162300731846848,0.012297826644712444,0.2622199812117384
Urban DTLA Top Level Penthouse,0.5600378787878788,-0.0285714285714286,0.33113425925925927
Popular Hollywood Fabulous Suite,0.32964618714618715,0.07990351846734825,0.21108148585421319
Urban Hollywood Memories Penthouse,0.4887878787878788,0.031018518518518518,0.28279166666666666
Embassy Suites Los Angeles - International Airport/North,0.4406950230260846,0.0007882706400751447,0.2733866210916393
Downtown LA 5beds Entertainer Pool,0.35078787878787887,-0.10148809523809524,0.1645565953654189
Le Meridien Delfina Santa Monica,0.420103028482814,0.03235789138166017,0.24105970771627686
High-Rise City View Condo,0.6160416666666667,0.1575,0.3732843137254902
Popular Audrey Hepburns Hollywood Suites,0.41752694165737647,0.0802055852644088,0.23269588996861723
InterContinental - Los Angeles Downtown,0.4390853499342799,-0.011443501817517562,0.2549525951387014
East West Comfort: Hollywood Walk of Fame Apartments,0.6253333333333334,-0.15666666666666668,0.10400000000000001
Urban Hollywood Modern Penthouse,0.4283854166666667,0.26681818181818184,0.38821705426356595
Fairmont Miramar Hotel & Bungalows,0.5071823925544791,0.010849115757769557,0.2573492407819527
Petit Ermitage,0.44187099104128774,0.022336079502095135,0.27032556471620256
Popular Hollywood Presidential Penthouse,0.38052401899176097,0.06616769547325105,0.18081529581529585
Hotel Angeleno,0.4295901573967617,0.012814237559550577,0.24605881508628208
LA Paradise Retreat Amazing Location,0.3578124999999999,-0.03359375,0.20374999999999996
Hilton Garden Inn Los Angeles Marina Del Rey,0.43440634556915425,0.041249341049829656,0.28303034299104374
Popular Hollywood Blvd Deluxe Suite,0.39515625000000004,-0.075,0.2669318181818182
Urban Hollywood Chateau Suite,0.36339847259658586,-0.033213657257774906,0.2103163375577169
Popular Downtown LA Extravagant Suite,0.4234006734006734,-0.19127192982456134,0.006301406926406951
East West Comfort: Downtown LA Artistic Apartments,0.40848039215686277,0.0,0.34720833333333334
Popular Hollywood Views Massive Penthouse,0.4516666666666667,-0.2,0.395
Melrose Place,0.4024038461538461,0.027749999999999997,0.2983333333333333
Popular Hollywood VIP Celebrity Penthouse,0.3404269293924467,-0.10300189393939392,0.07315476190476192
Downtown LA Convention Center Apartment,0.3945869990224829,0.020982142857142855,0.2674023671364097
Abbot Kinney Apartment,0.4593062042733092,-0.009308838419415343,0.23589340503618006
Downtown Los Angeles Deluxe Penthouse,0.35214285714285715,0.042908346134152585,0.16779151404151404
Popular Hollywood Spectacular Double King Suite,0.40690000000000004,0.005152511961722488,0.23341813016528923
Walk of Fame Hostel,0.4182254070476501,0.03536256273958327,0.2686431920569843
The Westin Los Angeles Airport,0.4124407601460718,-0.027121623165471325,0.2134951510992716
Comfort Inn Near Old Town Pasadena in Eagle Rock CA,0.391205485982272,0.007579853858262941,0.22596914443488267
Best Western Plus Hollywood Hills Hotel,0.40231324329830653,-0.010717342994753274,0.26667214746291784
Modern Living,0.39359687340845423,0.07917179802955665,0.24846469585308864
Cozy Silver Lake Getaway,0.38618386243386243,0.09451758241758242,0.2459596893491124
Kimpton Hotel Palomar Los Angeles Beverly Hills,0.4406574216972201,-0.005997757633708487,0.21207569145422708
Marina Vacation Rentals,0.42817414909057344,0.05902421652421653,0.3063710176132777
Popular Downtown LA Skyline View Suites,0.3151486013986014,-0.02874179292929292,0.15008121212121212
Marina del Rey Marriott,0.4401777282112647,-0.022602302716835485,0.22959081880333254
Popular Hollywood VIP Executive Suite,0.5000833333333333,0.10375000000000001,0.30191666666666667
Popular Hollywood Blvd Gorgeous Penthouse,0.4050214285714285,0.0007731807511737078,0.1678179112554112
Urban Downtown 3br 3ba Sky Pool Table Penthouse,0.5739814814814815,0.12997835497835497,0.2866853408029879
"Deluxe, Universal Studios / 2 rooms",0.341273315162204,0.06947350050605258,0.24420195278500711
Hotel Indigo - Los Angeles Downtown,0.4698267060000926,-0.03238779032728502,0.2599695736650948
Popular Hollywood Blvd Majestic Suite,0.47596212121212134,0.006190476190476193,0.35851920995671005
Popular Hollywood Blvd Shining Suite,0.5275,0.02023809523809524,0.13296296296296295
Hollywood 2Bed 2Bath,0.4502645089285714,0.02904249871991808,0.2663506734853566
Sunset Home,0.6777777777777779,0.18825892857142856,0.37781746031746033
Hollywood Walk of Fame Apartment,0.503003663003663,0.0,0.46707482993197275
The Los Angeles Athletic Club,0.41775927682591923,0.029385192706306826,0.2852815887700153
Hollywood Spring Deluxe,0.4249652745336201,0.034386148313492064,0.2615430459896334
DTLA Convention Center Stylish Apartment,0.3230404040404041,-0.004761904761904761,0.18806298276886513
Popular Hollywood Celebrity Suite,0.3426553884711779,0.05028423772609819,0.20373870911163722
BLVD Hotel & Suites,0.38115055428304584,-0.0031177857867231143,0.1944587368833402
Kimpton La Peer Hotel,0.4443083660525522,0.044967532467532476,0.334182036450944
Beverly Hills Plaza Hotel,0.42050847450816564,0.030597298678800566,0.2460394096252152
Popular Downtown LA Presidential Pool Table High Rise,0.4853763440860214,0.020694444444444453,0.3154421768707483
Hampton Inn Los Angeles Int'l Airport/Hawthorne,0.4316609225318893,0.04728601776848076,0.30898204550911623
Luxe Rodeo Drive Hotel,0.43128791208617584,-0.015900105943058636,0.21903558666827663
Popular Downtown LA Governor Suite,0.3890538362346872,0.16884920634920636,0.3115656565656565
Residence Inn by Marriott Los Angeles L.A. LIVE,0.433892218712387,-0.018727016442139206,0.256421615290444
Luxury Home In The Heart of LA,0.42405896522832004,0.25277777777777777,0.3962836375336375
DTLA Staples Center Suite,0.3888809523809523,0.04166666666666668,0.177829131652661
Courtyard Los Angeles Westside,0.4011889520202017,-0.01360413491132446,0.23302291565696223
Popular Hollywood Blvd Luxury Penthouse,0.5919290123456791,0.038638716356107675,0.3325404761904763
Oakwood Toluca Hills,0.3708013867268081,-0.0252327686234841,0.1780537001036834
Popular Hollywood Skyline View Penthouse,0.5627777777777777,-0.033843537414965985,0.04073412698412699
Heaven on Hollywood Furnished Apartments,0.37515170267026715,-0.028426840740828845,0.1507865199839319
Downtown LA 3-Bedroom Pool Suite #1,0.4593939393939394,0.09771978021978023,0.25785641025641026
Popular Hollywood Blvd Modern Suite,0.47672397416413376,0.03386275648470769,0.269585982593795
Popular Hollywood Prestige Suite,0.49499999999999994,-0.05277777777777777,0.1377536231884058
The Peninsula Beverly Hills,0.4586935005366717,0.053144841269841286,0.31141873140327114
East West Comfort: Downtown LA Cozy Apartments,0.0,-0.08,-0.06666666666666667
Hollywood Private Bungalow,0.39989583333333323,0.16854166666666667,0.27223379629629635
Urban DTLA Chic Stylish Suite,0.42194404361071036,0.10134057971014494,0.3346750939628847
Hollywood Megastar 5 beds 2-BR pool,0.4722537878787879,0.0,0.4722537878787879
Popular Downtown LA Cirrus Resort Style Suite,0.44387755102040816,0.05010351966873706,0.1990990990990991
LA Clean and Comfy Suite,0.1073809523809524,-0.4895833333333333,-0.025277777777777764
Urban DTLA VIP Penthouse with Pool Table,0.47090930451127827,-0.06562499999999999,0.3119361772486772
Urban 20 FT Two Level Loft,0.3242424242424243,0.0,0.3242424242424243
AIR Venice on the Beach,0.4355084473148166,0.04108734922427598,0.24558939377583563
Global Luxury Suites at Figueroa Street,0.39596491228070174,-0.25670454545454546,0.20258136924803588
Tuck Hotel,0.42192410579453754,0.039061314791403304,0.3180187224208965
Urban DTLA Resort Style Flamingo Suite,0.26420325706039993,0.024637681159420288,0.1389757969303424
Homewood Suites By Hilton Los Angeles International Airport,0.40158699514779,0.007739453600088678,0.2530335922599483
Modern 2BR/2BA in the Heart of Hollywood,0.46124338624338623,0.19,0.36437074829931965
Studio Plus - Hollywood Luxury 2BR APT,0.37614452798663334,0.06787628720485861,0.18986618149247927
Loft on Hollywood Walk of Fame,0.4766572871572873,0.035349462365591396,0.2966501480975166
The Hollywood Roosevelt,0.44321969597636235,-0.0029758874591792896,0.23897903042827295
Crowne Plaza Los Angeles International Airport,0.3876238276897757,-0.011117836665126451,0.19785245225125178
Residence Inn by Marriott Los Angeles LAX/Century Boulevard,0.3965357323386509,0.0011599949068334236,0.2526190628483504
Urban Downtown LA Moroccan Resort Suite,0.4684,0.07053571428571428,0.32557692307692304
Villa Delle Stelle,0.36341650394483777,0.008409540699788757,0.24205594326969299
The Beverly Hilton,0.44521536971469616,-0.008519437970949867,0.19768299441423035
Fabulous Apt Walk to Santa Monica Beach 17,0.4294871794871795,0.1,0.40595238095238095
The LINE Hotel,0.4379323826099184,0.02174923137844986,0.26081886267182575
Los Stylish Apartment Nice Area DTLA,0.42069139194139193,0.02666666666666666,0.33247690120824447
Hollywood Glamourous Apartment,0.31666666666666665,0.1074074074074074,0.1717948717948718
Downtown LA Brilliant 5 Beds Pool,0.36444444444444446,0.10277777777777779,0.2336111111111111
California Dream Suite At the Grove Mall,0.5349999999999999,0.016666666666666663,0.33564102564102555
Sirtaj Hotel,0.4554868368521167,-0.009195438514914608,0.25004780571690804
"The Ritz-Carlton, Los Angeles L.A. Live",0.4525942896709026,0.021013613252419232,0.27343238142066256
Urban Downtown LA Resort Style Suite,0.2985,-0.2153333333333333,0.1272222222222222
Titta Inn,0.37987125581705866,0.03048570308048981,0.28492682144747666
Penthouse Highrise,0.63546875,-0.17472527472527472,0.27227832512315275
"Luxury Apartment with pool, by the Pacific Ocean",0.35448979591836727,0.1216666666666667,0.31921356421356417
Wyndham Santa Monica At The Pier,0.42291085135826384,-0.03798733930694048,0.1692766275772279
W Hollywood,0.4300113248130071,-0.017325306149029836,0.17035415062247058
Le Parc Suite Hotel,0.43169793008892193,-0.007091851812178642,0.2672309824814263
Hotel Shangri-La,0.4781411485096757,-0.03323599656041956,0.2569756140389094
Popular Downtown LA Mediterranean View Penthouse,0.4348057644110277,0.09972171347171348,0.2717919017919019
Bluetiful Apartment Near to convention center,0.31203759398496245,-0.07857142857142856,0.20687362637362636
Luxe Sunset Boulevard Hotel,0.4391098406856073,0.03185020819443268,0.2680833831089979
Urban Hollywood Blvd Dream Penthouse,0.75,-0.08474345730027548,0.137854797979798
Popular Hollywood Blvd Plush Suite,0.43435574229691876,0.2041666666666667,0.34910052910052913
Luxury Apartment Near Staples Center,0.4470666666666667,0.15721801346801348,0.3909669273378951
Premier DTLA Convention Center Apartment,0.34297979797979805,0.32,0.3372348484848485
Hotel Normandie - Los Angeles,0.42462202742073185,0.020704563266721078,0.2790859851463929
Penthouse with a Stunning Hollywood View,0.3314351851851852,0.10974426807760142,0.23642479213907794
Urban Hollywood Tropicana Suite,0.40515664160401,0.029969545957918058,0.2454511904761905
Downtown Celebrity Suite Near Staples Center,0.5111111111111111,0.06069444444444445,0.15077777777777776
Regency Inn in Los Angeles,0.35857072201808055,0.022972593895821052,0.2563332276189423
