name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
Comfort Inn Near Old Town Pasadena in Eagle Rock CA,90041.0,583.0,8.3,8.6,8.3,8.1,8.8,8.1,7.9,7.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,6.2
Best Western Plus Hollywood Hills Hotel,90028.0,1204.0,8.2,8.5,8.2,8.0,8.5,7.5,8.6,8.5,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,5.6
Modern Living,90012.0,62.0,8.9,8.9,9.2,9.0,8.7,8.8,9.3,8.7,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1150.0
Cozy Silver Lake Getaway,90026.0,18.0,8.7,8.8,8.8,8.5,8.8,8.1,10.0,9.2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,3.0
Kimpton Hotel Palomar Los Angeles Beverly Hills,90024.0,627.0,8.0,8.5,8.3,7.7,8.3,7.1,6.2,8.3,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,10.6
Marina Vacation Rentals,90094.0,196.0,8.7,8.7,8.7,8.6,9.2,8.4,9.0,8.6,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,11.8
Popular Downtown LA Skyline View Suites,90017.0,31.0,8.3,8.1,8.2,8.2,8.8,8.2,7.0,8.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1.2
Marina del Rey Marriott,90292.0,341.0,8.1,8.4,8.4,8.0,8.4,6.9,3.8,8.6,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,13.0
Popular Hollywood VIP Executive Suite,90028.0,18.0,8.0,7.7,8.3,7.9,7.5,8.1,8.8,8.8,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Popular Hollywood Blvd Gorgeous Penthouse,90028.0,51.0,8.0,7.7,8.3,7.8,7.7,7.6,10.0,9.2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,6.2
Urban Downtown 3br 3ba Sky Pool Table Penthouse,90015.0,22.0,8.6,8.8,8.9,8.6,8.5,8.0,8.9,8.6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.3
"Deluxe, Universal Studios / 2 rooms",90068.0,39.0,8.3,8.7,8.3,8.2,8.0,7.8,8.8,8.8,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,7.5
Hotel Indigo - Los Angeles Downtown,90017.0,791.0,8.6,9.0,9.0,8.8,8.5,8.0,8.7,8.6,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1.3
Popular Hollywood Blvd Majestic Suite,90028.0,6.0,9.0,8.3,9.2,9.6,8.3,8.8,9.6,4.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Popular Hollywood Blvd Shining Suite,90028.0,13.0,8.3,8.3,8.7,8.1,8.3,7.7,9.1,5.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Hollywood 2Bed 2Bath,90038.0,99.0,8.1,7.7,8.3,8.2,8.7,8.2,8.5,7.8,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,5.0
Sunset Home,90069.0,13.0,8.2,8.3,7.7,7.9,8.3,8.3,8.7,5.0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,7.5
Hollywood Walk of Fame Apartment,90028.0,7.0,8.6,8.6,8.9,7.9,8.2,8.6,9.7,4.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Luxury Condo with Parking,90036.0,8.0,8.2,8.8,8.5,7.8,7.5,7.8,8.8,5.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
The Los Angeles Athletic Club,90014.0,671.0,8.6,8.8,8.8,8.8,8.7,8.0,8.4,8.4,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0.8
Hollywood Spring Deluxe,90028.0,170.0,9.0,9.1,9.1,9.2,9.2,8.7,9.3,8.6,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5.0
DTLA Convention Center Stylish Apartment,90015.0,10.0,8.6,8.8,8.5,9.0,8.5,8.0,9.0,6.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.7
Popular Hollywood Celebrity Suite,90028.0,46.0,8.2,8.4,8.3,7.9,7.7,7.8,8.2,9.0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,6.2
BLVD Hotel & Suites,90068.0,1311.0,8.0,8.2,8.0,7.6,8.2,7.4,8.4,8.7,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,6.2
Kimpton La Peer Hotel,90069.0,48.0,8.8,9.5,8.7,8.8,9.2,7.8,10.0,9.1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,8.1
Beverly Hills Plaza Hotel,90024.0,789.0,8.4,8.7,8.6,8.3,8.5,7.7,8.4,8.6,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,9.9
Popular Downtown LA Presidential Pool Table High Rise,90015.0,26.0,8.2,7.6,8.4,8.3,7.8,8.0,8.3,9.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1.1
Hampton Inn Los Angeles Int'l Airport/Hawthorne,90250.0,2092.0,8.5,9.0,8.8,8.6,8.8,8.2,8.1,7.8,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,9.9
Luxe Rodeo Drive Hotel,90210.0,753.0,8.2,8.4,8.1,7.8,8.5,7.2,7.8,9.4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,8.7
Popular Downtown LA Governor Suite,90017.0,26.0,9.2,9.1,9.3,9.3,9.0,9.1,10.0,9.3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.1
Residence Inn by Marriott Los Angeles L.A. LIVE,90015.0,311.0,8.7,8.9,8.9,8.8,8.9,7.8,9.0,8.8,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1.4
Luxury Home In The Heart of LA,90017.0,29.0,9.4,9.6,9.5,9.3,9.4,9.3,10.0,9.5,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.2
DTLA Staples Center Suite,90015.0,20.0,8.2,8.4,8.4,8.1,7.6,7.5,9.2,9.1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Courtyard Los Angeles Westside,90230.0,539.0,8.2,8.7,8.5,8.2,8.3,7.4,8.2,8.1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,9.3
