,pos,neg,total
RIU Plaza New York Times Square,0.44377077479962623,0.02522704338634663,0.26910818809404585
NoMo SoHo,0.45393477033185914,0.010861185106756334,0.2523621069624564
Sheraton New York Times Square Hotel,0.41086011958295066,-0.027261333781156777,0.1644811895991398
1 Hotel Central Park,0.4389857594691717,0.03181990973391332,0.3008870947622924
Hotel Central Fifth Avenue,0.3865799574111594,-0.022119121515018582,0.1911121773909913
Shoreham Hotel,0.39469348997692455,-0.02327762035982893,0.1710014500595967
Empire Hotel,0.39603708294824613,-0.015298786250311839,0.1647582815575357
Hotel Boutique at Grand Central,0.4026358113246631,0.04330964483823832,0.29627448551341357
The New York EDITION,0.45419828079306895,0.00974270524876254,0.28509257902658797
Staybridge Suites - Times Square - New York City,0.42697799978124346,-0.0026820611758633173,0.23966218203596779
Courtyard by Marriott Times Square West,0.4040774739936063,0.01405771498513432,0.2664953005756559
The Hotel @ New York City,0.39268926060887005,-0.02595438408415181,0.18812945477108306
Hotel 50 Bowery,0.43848538678019217,0.08568760377083967,0.3282343144261477
EVEN Hotel New York - Midtown East 44th,0.3880675287338737,0.03434255414424099,0.25737277531917707
Arlo NoMad,0.42691070499195904,0.047821389582479695,0.28411074179242685
HGU New York,0.39542543521199575,0.03218582483943082,0.25328092868752444
"Upper East Side, 2 Bedroom, Close to Everything, Central Park, Metro, 5th ave, Museums",0.33396520146520153,-0.40625,0.28109268707482993
Hotel Wolcott,0.40269053482084155,0.01175356534599217,0.23414232361927517
Westin New York at Times Square,0.41802243958977076,0.003993774095656464,0.20773102123713294
World Center Hotel,0.4145192911257736,0.02145340364415949,0.26756459402324356
Sixty LES,0.4188258678626671,-0.008640129177600368,0.22977424569540716
The Standard - East Village,0.45774776850597504,0.03909947153169099,0.2952157293974249
Novotel New York Times Square,0.4336349620320708,0.017631362878744658,0.2666660255705062
Candlewood Suites NYC -Times Square,0.3890487674704917,0.05322364379047285,0.2586732977888337
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,0.42387351225621195,-0.0071166756198908715,0.28049002040945675
Heritage Hotel New York City,0.38108273362337053,-0.04191383294514245,0.16167071365884664
SIXTY SoHo,0.4700279537578517,0.04677648493487382,0.29925653156895
Hotel Hayden New York,0.4072248626424321,0.004522323814564281,0.23131192703372452
Trump International New York,0.4570273012004626,0.03738856035791129,0.29274506298174496
Doubletree By Hilton New York Times Square West,0.4106006316852154,-0.01987424178612489,0.19428037433872603
The Dominick Hotel,0.4509892767109043,0.01835283553900148,0.2598615000422168
Hotel Lucerne,0.3975920148569878,0.03506254196607091,0.27233346793175184
Dream Downtown,0.45969782418957833,0.023943375024691575,0.21028937058775576
Andaz 5th Avenue-a concept by Hyatt,0.4141585630787975,0.028584554281897753,0.26953666391117537
The Time New York,0.3931409739539909,0.0014434817521838295,0.22292797733282185
Best Western Premier Herald Square,0.4134733411723563,0.010296970504926044,0.26781595616806625
Hotel Belleclaire,0.37931209236169466,0.00021169571068981223,0.20118988499237825
Fairfield Inn by Marriott New York Manhattan/Financial District,0.4045314883995408,0.012807587750709847,0.24824520363811814
Hyatt Herald Square New York / 5th Avenue,0.4155193186658381,-0.01160489351167233,0.24386639915905697
Great Renovated Apartments Best Location Manhattan,0.356584062196307,0.12931142823584685,0.2503588093669615
AKA Wall Street,0.4119547985258721,0.07508167209438393,0.31735531151587976
Hotel Indigo Lower East Side,0.4382985866405956,0.053611733841040385,0.28138903399226145
U Hotel Fifth Avenue,0.40654780607073043,9.841201101762718e-05,0.23481586509904082
Club Quarters Hotel Wall Street,0.39361886976261307,0.01352477862592425,0.24558172803098993
Sohotel,0.4083256125478521,0.03064463819463132,0.2479437169983742
Club Quarters Hotel Midtown - Times Square,0.3936735571818113,0.027488821862852342,0.23691619457228394
Courtyard New York Manhattan/Times Square,0.4280028103451388,0.009329886944971928,0.24191552549199458
Carvi Hotel New York,0.36504810676767485,0.029323861991618766,0.2298219165558112
The Allen Hotel,0.38435685260480046,0.04445261115495925,0.2533542666085886
"Club Quarters Hotel, Grand Central",0.4178079172304712,0.019972995774067203,0.3020775022922679
The Jewel Facing Rockefeller Center,0.3955798332022088,0.0017311205343120335,0.2548475145936481
Modern Apartments next to Times Square,0.42454044913419897,-0.006574357015533489,0.26233290699199785
The Peninsula New York,0.5200429986679986,-0.017184164614121505,0.30465699311249417
The NoMad Hotel,0.4491247788320725,0.04312436259727923,0.3134772100683969
