name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist
Caribe Royale Orlando Near Disney,32821.0,3263.0,8.6,8.7,8.7,8.6,8.6,8.1,7.4,8.8,0,0,0,1,1,0,0,1,0,0,1,1,0,13.7
Wyndham Grand Orlando Resort Bonnet Creek,32830.0,2575.0,8.6,8.7,8.8,8.8,8.6,8.0,8.5,8.8,0,0,0,1,1,0,0,1,1,1,1,0,0,14.9
Vista Cay Resort by Millenium at Universal Blvd.,32819.0,463.0,8.5,8.4,8.7,8.5,8.1,8.3,8.9,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1
Orlando Escape,32819.0,128.0,9.1,9.4,9.4,9.3,8.4,9.0,9.6,9.3,0,1,0,1,0,1,0,1,1,0,1,0,0,8.1
Universal’s Family Suites at Cabana Bay Beach Resort,32819.0,176.0,8.6,8.7,8.6,8.5,8.6,8.0,8.0,9.3,0,0,0,1,1,0,0,1,1,0,1,1,0,6.8
Ashcroft 411L Six-Bedroom House,34761.0,5.0,8.2,8.5,8.5,8.5,8.5,7.5,7.5,3.0,0,1,0,1,0,1,0,1,1,0,1,0,0,20.5
The Boat House,34747.0,10.0,9.3,8.8,9.5,9.5,9.7,9.3,9.3,8.0,0,1,0,0,0,0,1,1,1,0,0,1,0,20.5
Homewood Suites by Hilton Orlando-Nearest to Universal Studios,32819.0,559.0,8.7,8.7,8.8,8.7,8.9,8.5,8.2,9.0,0,1,0,1,0,0,0,1,1,0,0,1,0,6.2
Quality Inn & Suites By The Parks,34747.0,3294.0,8.6,8.6,8.3,8.3,9.0,8.6,8.3,8.7,0,1,0,0,0,0,0,1,1,0,0,0,0,18.6
Villas of Grand Cypress,32836.0,417.0,9.1,9.3,9.4,9.2,9.2,8.5,9.0,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,12.4
Hyatt Place across from Universal Orlando Resort,32819.0,645.0,8.3,8.3,8.3,8.0,8.7,8.0,8.1,8.7,0,1,0,1,0,0,0,1,1,1,1,0,0,5.6
Disney Bunk Room--Windsor Hills,34747.0,7.0,9.0,8.6,9.3,9.7,8.2,8.9,9.3,6.0,0,1,1,0,0,0,0,1,1,0,1,1,0,19.3
Blue Heron Beach Resort,32821.0,912.0,8.6,8.0,8.7,8.5,8.6,8.7,9.0,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,13.0
Holiday Inn Express-International Drive,32819.0,681.0,8.7,8.8,8.8,8.5,8.6,8.4,8.3,8.9,1,1,0,0,0,0,0,1,1,0,0,1,0,7.5
Hyatt Regency Grand Cypress,32836.0,1586.0,8.9,8.9,9.1,9.2,9.0,8.2,8.8,9.1,0,0,0,1,1,1,0,1,0,1,1,0,0,13.0
Courtyard by Marriott Orlando South/John Young Parkway,32837.0,156.0,9.1,9.4,9.1,9.2,9.1,8.8,8.5,8.7,1,1,0,0,0,0,0,1,0,0,1,1,0,8.1
Loyalty Vacation Homes - Kissimmee,33896.0,174.0,9.0,8.8,9.2,9.1,8.9,8.9,9.3,8.9,0,1,0,1,0,0,0,1,1,1,0,0,0,20.5
Comfort Suites,32819.0,626.0,8.8,8.7,8.8,8.6,8.8,8.8,8.2,9.1,1,1,0,0,0,0,0,1,0,0,0,1,0,5.6
Best Western Orlando Gateway Hotel,32819.0,5361.0,8.4,8.3,8.2,8.1,8.7,8.3,8.6,8.8,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8
Sheraton Suites Orlando Airport Hotel,32822.0,1094.0,8.6,8.7,8.8,8.5,8.5,8.1,8.7,8.8,0,0,0,1,1,0,0,1,0,1,1,0,0,6.8
Fairfield Inn & Suites by Marriott Orlando International Drive/Convention Center,32819.0,690.0,8.7,8.8,8.8,8.6,8.7,8.5,8.6,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,7.5
Hilton Orlando,32819.0,957.0,8.5,8.8,8.8,8.8,8.6,7.5,6.5,8.6,1,0,0,1,1,0,0,0,0,0,1,1,1,8.7
Marriott's Cypress Harbour Villas,32821.0,317.0,9.5,9.5,9.7,9.6,9.5,9.3,9.8,9.6,0,1,0,1,0,0,0,1,0,0,1,1,0,10.6
Oakwater Resort 7514,34747.0,10.0,9.0,9.2,9.5,8.5,8.1,9.5,9.5,5.0,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Cypress Pointe Resort by Diamond Resorts,32836.0,849.0,8.8,8.8,8.9,8.6,8.7,8.7,8.5,9.0,1,1,0,0,0,0,0,1,0,0,0,1,0,11.8
Regal Oaks Resort 2719,34746.0,8.0,8.9,8.5,9.1,9.1,8.8,8.8,10.0,9.4,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2
Universal Studios Area Apartment,32819.0,67.0,9.2,9.1,9.5,9.2,8.9,9.2,8.8,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,8.1
Regal Oaks Resort 2749,34746.0,7.0,8.7,8.2,9.7,8.9,7.5,8.6,7.5,9.3,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2
Grande Villas Resort By Diamond Resorts,32836.0,869.0,8.9,8.8,8.9,8.8,8.9,8.7,8.5,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,11.8
Legacy Vacation Resorts - Lake Buena Vista,32836.0,641.0,8.5,8.3,8.5,8.2,8.8,8.4,8.6,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,12.4
Grand Beach Resort By Diamond Resorts,32821.0,518.0,9.0,9.0,9.2,8.9,8.8,8.8,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,13.7
Patty's Place,34747.0,19.0,9.4,9.5,9.5,9.4,9.4,9.4,10.0,9.6,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3
Hampton Inn & Suites Orlando/Downtown South - Medical Center,32806.0,380.0,9.2,9.6,9.5,9.3,9.4,8.6,8.3,8.7,0,0,0,1,1,0,0,1,0,0,0,1,0,2950.0
Parkway International Celebration Area By Diamond Resorts,34746.0,454.0,8.9,8.7,9.1,8.8,8.9,9.0,8.6,8.0,0,1,0,1,0,0,0,1,1,0,1,1,0,16.2
Rocco's Retreat,34747.0,13.0,8.5,8.6,8.8,8.6,8.1,8.3,7.5,8.5,0,1,0,0,0,0,0,1,1,1,0,1,0,17.4
Holiday Inn Express & Suites - Orlando At Seaworld,32821.0,222.0,9.2,9.4,9.3,9.3,9.2,8.8,9.3,9.3,0,1,0,1,0,0,0,1,1,0,0,1,0,9.3
Mystic Dunes Resort & Golf Club By Diamond Resorts,34747.0,1495.0,8.7,8.7,8.9,8.7,8.6,8.6,7.6,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
Wingate By Wyndham - Orlando International Airport,32822.0,769.0,8.7,8.9,8.8,8.5,8.5,8.4,8.7,8.9,0,1,0,1,0,0,0,1,0,0,0,1,0,6.2
Comfort Suites Orlando Airport,32809.0,1067.0,8.7,8.8,8.9,8.5,8.6,8.6,8.5,8.5,0,0,0,0,1,0,0,1,1,0,0,1,0,5.6
Hampton Inn & Suites Orlando-East UCF,32817.0,456.0,9.1,9.4,9.3,9.2,9.2,8.9,8.8,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,10.6
Aloft Orlando Downtown,32801.0,276.0,8.6,8.9,8.8,8.6,8.9,7.7,8.9,8.9,0,0,0,1,1,0,0,1,0,1,1,1,0,1500.0
Playhouse,34747.0,6.0,8.8,8.8,9.6,9.2,8.3,8.3,8.3,3.0,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5
Encore Club Orlando,34747.0,6.0,9.9,10.0,10.0,10.0,10.0,9.6,10.0,5.0,0,1,0,1,0,0,0,1,1,1,1,0,0,20.5
The Florida Hotel & Conference Center - BW Premier Collection,32809.0,715.0,8.8,8.8,8.8,8.8,8.9,8.2,8.1,9.1,0,1,0,1,0,1,0,0,1,0,1,0,1,6.2
JW Marriott Orlando Grande Lakes,32837.0,552.0,8.8,9.1,9.1,9.1,8.8,8.0,7.5,8.7,0,0,0,1,1,1,0,1,1,0,1,0,0,9.3
Best Western Lake Buena Vista – Disney Springs® Resort Area,32830.0,1447.0,8.3,8.1,8.1,7.9,8.6,7.9,8.3,9.0,1,0,0,1,1,0,0,1,0,0,1,1,0,13.0
Embassy Suites by Hilton- Lake Buena Vista Resort,32836.0,645.0,8.4,8.3,8.5,8.5,8.7,7.9,7.9,8.5,0,0,1,1,1,0,0,1,0,0,1,1,0,11.8
Luxury Windsor Hills Condo,34747.0,78.0,8.7,8.7,8.9,8.6,8.7,8.6,9.5,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
Homewood Suites by Hilton Lake Buena Vista,32836.0,358.0,8.6,8.5,8.6,8.5,8.7,8.4,7.9,8.8,1,1,0,1,0,0,0,1,0,0,1,1,0,11.8
Fairfield Inn & Suites by Marriott Orlando Kissimmee/Celebration,34747.0,154.0,8.9,9.1,9.0,8.7,8.9,8.6,8.5,9.0,0,1,1,1,0,0,0,1,0,0,0,1,0,16.2
Embassy Suites by Hilton Orlando International Drive I Drive 360,32819.0,253.0,8.7,8.7,8.8,8.7,8.7,8.2,8.0,9.0,0,0,0,1,1,0,0,1,1,0,1,1,0,8.1
"Grand Bohemian Hotel Orlando, Autograph Collection",32801.0,293.0,8.8,9.1,9.0,8.8,8.8,7.8,9.1,8.8,0,0,0,1,1,0,0,0,1,0,1,1,0,1950.0
Embassy Suites Orlando - Downtown,32801.0,248.0,8.7,8.9,8.7,8.7,8.9,7.8,10.0,9.0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.7
Holiday Inn Orlando East-UCF Area,32826.0,253.0,8.6,8.8,8.8,8.6,8.7,8.1,8.5,8.4,0,1,0,0,0,0,0,1,0,0,1,1,0,10.6
Clarion Inn & Suites Universal Studios Area,32819.0,3357.0,8.3,8.5,8.1,8.1,8.2,8.2,8.4,8.6,0,1,0,1,0,0,0,1,1,0,1,1,0,5.6
Hyatt Place Orlando Airport,32812.0,408.0,8.6,8.7,8.8,8.4,8.8,8.3,8.6,8.8,0,1,0,1,0,0,0,1,0,1,1,0,0,6.2
Marriott's Harbour Lake,32821.0,247.0,9.4,9.5,9.5,9.5,9.5,9.1,9.3,9.5,0,1,0,1,0,0,0,1,1,0,1,1,0,10.6
VISTA CAY DISNEY PARADISE 6,32819.0,5.0,9.8,9.5,9.5,10.0,10.0,9.5,10.0,5.0,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1
Gaylord Palms Resort & Convention Center,34746.0,1210.0,8.6,8.9,8.7,8.9,8.6,7.8,7.4,8.9,0,0,0,1,1,1,0,0,1,0,1,0,1,15.5
Hilton Garden Inn Orlando International Drive North,32819.0,205.0,9.0,9.1,9.0,8.9,9.2,8.7,7.9,9.3,0,1,1,1,0,0,0,1,0,0,1,1,0,6.2
Park Plaza Hotel Orlando - Winter Park,32789.0,154.0,8.3,8.7,7.8,7.7,9.1,7.1,8.4,9.1,0,1,0,0,0,0,0,1,0,1,0,1,0,4.3
Blue Tree Resort at Lake Buena Vista,32836.0,548.0,8.4,8.1,8.2,8.4,8.4,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,12.4
"Castle Hotel, Autograph Collection",32819.0,266.0,8.7,8.7,8.8,8.5,8.9,7.9,8.4,9.0,0,0,0,1,1,0,0,1,1,1,1,0,0,8.1
Tink's Movie Castle,34747.0,5.0,9.8,10.0,10.0,10.0,9.0,10.0,10.0,5.0,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3
