,pos,neg,total
Wyndham Lake Buena Vista Resort Disney Springs® Resort Area,0.45616706312411887,0.022872795842894457,0.24167732135786651
"Bohemian Hotel Celebration, Autograph Collection",0.44076435574229667,-0.020468056855202036,0.22427990845959575
Orlando World Center Marriott,0.4693695419164173,-0.007803225083348834,0.1907492898240647
Oakwater Resort Two Bedroom Apartment 1X5,0.5791666666666667,-0.023857142857142858,0.26725779967159274
Hilton Orlando Bonnet Creek,0.48185486704482494,0.04300033319342463,0.30495554200987884
Homewood Suites by Hilton Orlando-UCF Area,0.41331791741729645,0.025882190531066943,0.2753907986457988
Six Bedrooms with Private Pool (1744),0.4152371031746032,-0.015240575396825395,0.09804302422723478
staySky Suites I-Drive Orlando,0.40610082348338905,-0.01331393738794688,0.21374717523691886
Vist Cay Inn,0.37921404275996123,0.051102334783653454,0.1986172924508791
Westgate Lakes Resort and Spa,0.4068516578436649,-0.009267008846203921,0.1762191496603078
Alamo Vacation Homes,0.36833645926584224,0.0057807122944939044,0.14870931001237095
Comfort Inn International Drive,0.3937745905483404,-0.0056915675470363015,0.20778527972613503
Orlando Airport Marriott Lakeside,0.43800651742069086,0.00022402547755655,0.2287833730672871
Hilton Orlando Lake Buena Vista - Disney Springs™ Area,0.41254920716154075,0.004464908828474358,0.19483254493919477
3 Bedroom Standard Kissimmee Home,0.8016493055555555,0.25749999999999995,0.554308712121212
Hampton Inn Orlando-Convention Center International Drive Area,0.48216273254611897,0.043539976283878686,0.3085765066122206
Ramada Plaza Suites Universal Studios,0.4148069362322412,-0.038284058685844384,0.15013718102641452
Bryan's Spanish Cove By Diamond Resorts,0.4325061413454271,0.045878806650865474,0.2591026845961057
Avanti International Resort Near The Parks,0.42550060180959287,0.0067804955647941464,0.2331219991833611
Westgate Town Center Resort,0.38340968066883296,-0.00140046656165273,0.14945926850463417
B Resort and Spa Located in Disney Springs Resort Area,0.4165005776753867,-0.0030995620489033607,0.19873037957739478
Holiday Inn Resort Orlando Suites - Waterpark,0.41394703890054174,0.002169498992362495,0.1793502111344574
Radisson Hotel Orlando - Lake Buena Vista,0.4047419671118865,-0.024790588726317297,0.22782879524436264
Comfort Inn Orlando - Lake Buena Vista,0.41075671605049074,-0.020779611945501385,0.18670156193917573
Quality Inn & Suites by the Lake,0.39589262915467555,-0.0014013837273114677,0.19100261739114316
Regal Oaks Resort 5728,0.8416666666666667,0.0625,0.45208333333333334
Buena Vista Suites,0.44831756775364245,-0.002441429036189012,0.22813445872826454
Comfort Suites Downtown,0.41430493748675556,-0.01558350550738943,0.22148626391215032
Quality Inn At International Drive Orlando,0.3953864662023201,-0.0005649142953081679,0.2087859002906118
Orlando Disney Area - Windsor Hills Resort,0.22764367816091954,0.059767345587017726,0.11080527497194163
La Quinta Inn Orlando Near Universal,0.36385723512725304,-0.007716186576438492,0.18229753519381584
Lake or Conservation View Vacation Homes,0.39608874005342115,-0.05036252793439756,0.11966286901612386
Quality Suites Lake Buena Vista near Walt Disney World,0.40878139400658586,0.007770793477269148,0.23447611149542336
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,0.42260179109658225,-0.007893412223394672,0.17181319632522374
Red Lion Hotel Orlando Kissimmee Maingate,0.39159532749816933,0.00739014803524846,0.21496345576171816
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista,0.42523632243301357,-0.01628634793350603,0.247339536476865
Comfort Inn & Suites Convention Center,0.401085486187289,0.0011504134250293458,0.21333062885810855
Sunsol International Drive,0.36101305918206916,-0.0200707328113574,0.16027695411887097
Westgate Palace Resort,0.42788244382946217,-0.009262007410706322,0.18301062145677174
DWS Vacation Villas,0.4154472503001554,0.003667688674098935,0.12951886652951822
"Disney-World Orlando Area, U.S.A - Paradise Palms Resort",0.43370313648615544,0.02910674996071035,0.20633341350008025
Regal Oaks 2716,0.575,0.0011904761904761882,0.12870370370370368
Ramada by Wyndham Orlando Florida Mall,0.445130403497339,-0.021196831858328196,0.24733835630313952
"8 Bedrooms with Private Pool, Spa and Grill (1803)",0.5475,-0.2640909090909091,0.07763157894736843
Days Inn by Wyndham Orlando Conv. Center/International Dr,0.35367116593358533,-0.025030209661528587,0.15917073164018108
Clarion Inn & Suites at International Drive,0.3455906852561466,-0.02381403568670644,0.14296152172482068
Parc Corniche Condominium Suites,0.4058317717269416,-0.02552049342026578,0.19096754000752764
Holiday Inn & Suites Orlando Universal,0.3753980572020064,-0.01436930740713305,0.18634531371734547
Floridian Express International Drive,0.30058645601271716,-0.02434408017671157,0.09973865349145063
Midpointe Hotel by Rosen Hotels & Resorts,0.3488267226549418,-0.012228088773314888,0.17234558076363987
Courtyard Orlando Lake Buena Vista at Vista Centre,0.4503293961418298,0.019837626187400266,0.27077341548796885
Comfort Inn Maingate,0.4231966292150973,-0.015306632871578067,0.206369235357759
Rodeway Inn Maingate,0.3818962718497066,-0.022950552359472444,0.17757351534414162
Westgate Blue Tree Resort,0.462335500099621,0.022073548219022354,0.220955976226829
Baymont by Wyndham Orlando Universal Blvd,0.35598504536832837,-0.0423023647632337,0.14282386444567682
Econo Lodge International Drive,0.3451262358131492,-0.018029005161020472,0.15200031387592103
Quality Suites Orlando Close to I-Drive,0.37159100495962366,-0.031978407216143236,0.13038944539857086
Windsor Hills,0.5479901960784314,0.10987166768416769,0.3907019142716258
La Quinta Inn Orlando Airport West,0.35050932291071596,-0.04137386213307415,0.1462583917972389
Crowne Plaza Hotel Orlando-Universal,0.3948328185777791,0.010608685632058794,0.2127078720396015
Hilton Orlando Buena Vista Palace - Disney Springs Area,0.41823529044994373,-0.03097214167311886,0.16201498178418025
Avanti Palms Resort And Conference Center,0.38425022964085437,-0.052476662080443284,0.12076531822458322
Melia Orlando Hotel,0.416433483400692,0.017782526379328138,0.2207775787703646
Wyndham Orlando Resort International Drive,0.4165164552002927,-0.013471933788078877,0.17868661727703164
Eight Bedrooms with Private Pool and Spa (1756),0.49999999999999994,0.15,0.28125
Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive,0.3887466783305337,-0.027134278618067248,0.12781578781679795
Ramada by Wyndham Suites Orlando Airport,0.381708113488479,0.009273049662537442,0.19887583400757153
Extended Stay America - Orlando - Convention Center - Universal Blvd,0.3858049180241329,-0.020119765366534308,0.15508980854994137
Golf View Vacation Rentals,0.4081380352918454,-0.06809895348166274,0.11026547874700494
Ramada by Wyndham Kissimmee Gateway,0.3825631410918463,-0.05303066249033126,0.1336888240421495
La Quinta Inn & Suites Orlando Universal Area,0.3585296395009523,-0.004528562914198972,0.16418319126605124
Simba's Lake House,0.5262698412698412,0.08199168556311412,0.259702947845805
Days Inn by Wyndham Orlando Airport Florida Mall,0.3506612452268915,-0.010880564019025683,0.17351761305676547
Six Bedrooms with Private Pool and Spa (1746),0.625,-0.1312169312169312,0.011033549783549777
"Five Bedrooms with private Pool, Spa and Grill (1761)",0.48888888888888893,-0.005714285714285704,0.2973333333333333
Red Roof Inn Orlando South - Florida Mall,0.3968523663110482,-0.008059722208393303,0.17175466743261872
Best Western Airport Inn & Suites,0.39893843879472085,0.012847079931326166,0.21484484478004698
Holiday Inn Orlando International Airport,0.3655270723500922,-0.03147744169171651,0.15107847335549135
The Floridian Hotel and Suites,0.31897998613057316,-0.03972060345798067,0.1202710565983354
Days Inn by Wyndham Orlando/International Drive,0.20111594406676175,-0.10387963812496022,-0.010526728272341176
ACO - Windsor Hills with Private pool (1617),0.4083333333333333,-0.023746782731157733,0.05186723758012821
Altamonte Hotel & Suites,0.2388067675337184,-0.08502433224070677,-0.007868909767481856
Quality Suites Orlando I-Drive Convention Center,0.3652164929497404,0.011722131951567991,0.19351179911012792
Paradise Palms 4 Bedroom-3082,0.4666666666666667,-0.08139204545454545,0.10129419191919192
Paradise Palms 4 Bedroom-3281,0.0,0.0,0.0
Quality Inn & Suites,0.37158385020332657,-0.023879276659769456,0.2041459104632139
Sheraton Orlando Lake Buena Vista Resort,0.43274698544833284,-0.0194328772703558,0.17522688442932396
Windsor Hills Six Bedroom Holiday Home 26Dv29,0.3656001984126984,0.014563492063492072,0.17975723622782444
Paradise Palms 5 Bedroom-3613,0.3861031746031746,-0.08785714285714286,0.15729474548440062
Four Points by Sheraton Orlando International Drive,0.38898016776629474,-0.027260421365819645,0.1847808093831238
Eight Bedrooms with Pool and Game Room (1764),0.55,-0.22218549679487182,-0.11922743055555558
Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney,0.3952028726284762,-0.028211032063926972,0.13971995011421265
Marriott's Grande Vista,0.45657229074145533,0.027331270633016356,0.2740048258812619
Best Western Plus Universal Inn,0.38346792683121445,0.07227787710133302,0.28235595442312006
Coco Key Hotel & Water Park Resort,0.3607647583343109,-0.01598348507106403,0.13412824690575773
"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals",0.39900165016501654,-0.06580357142857139,0.11077674062049066
Drury Inn & Suites Orlando,0.4079015528431196,0.11553057584447776,0.32780760331515807
Westgate Leisure Resort,0.41015739852988164,0.0025371633893577824,0.20066555245564854
Windsors Hills 7749,0.36986111111111114,-0.22083333333333333,0.2517222222222222
Hampton Inn & Suites Orlando near SeaWorld,0.4285542445610525,0.055096003887001394,0.2980674118513701
Westgate Vacation Villas Resort,0.3968525686236357,-0.015509241618907042,0.13133654034402212
Marriott's Sabal Palms,0.4720454545454545,0.057977729885057463,0.2783686155913977
Rosen Inn Closest to Universal,0.3899429671768132,0.017629700678392233,0.25490225662817895
Windsor Wonderland Home,0.35411989795918364,0.0402445652173913,0.23028068555008205
Seaescape,0.4043861024033439,0.0032051282051282102,0.21473691460055103
Residence Inn by Marriott Near Universal Orlando,0.34946599063037415,0.15357142857142858,0.30570231187252456
White Crane Home by Florida Dream Homes,0.48113997113997115,0.06278645833333334,0.2751813186813187
Six Bedrooms with Private Pool and Spa (1751),0.506969696969697,-0.031363636363636344,0.23780303030303027
Orlando International Resort Club,0.37577631286456076,0.03869803939867636,0.27156297998537365
Windsor Magic,0.20625000000000004,0.10638888888888891,0.13462500000000002
Contessa Dr,0.7333333333333334,0.19999999999999998,0.5555555555555556
Regal Oaks Three Bedroom Villa,0.21133333333333337,0.07037037037037037,0.11183006535947715
Hampton Inn & Suites Orlando Airport at Gateway Village,0.4134271638278652,0.037167228427493024,0.28790614308392853
101 Dalmatian's Den,0.326530612244898,0.2104166666666667,0.2646031746031746
SeaWorld - Disney Apartments by NUOVO,0.3707400257400258,0.11458333333333333,0.2634725274725275
DoubleTree by Hilton Orlando East - UCF Area,0.4508820847427486,0.017776942355889735,0.2887406693838765
The Windsor Wonderland 6 BR Villa,0.44259259259259265,-0.21011904761904762,0.15703125
Windsor Hills Townhomes by IPG,0.5852564102564103,-0.14094202898550723,0.12129629629629626
FunQuest Condos at Windsor Hills Kissimmee,0.4447693452380953,-0.08297063443802574,0.1335380751726906
Luxury Villas in Encore Waterpark,0.4614404761904762,0.08461240310077521,0.26621629374641426
Rosen Centre Hotel Orlando Convention Center,0.4073763418133631,-0.017685697241140025,0.2040650327878761
Festiva Orlando Resort,0.4137750282046759,0.007186982433076179,0.23123899174197618
Hampton Inn & Suites Orlando International Drive North,0.39633454916543154,-0.0001830136146173834,0.26879103323197356
Hampton Inn Lake Buena Vista / Orlando,0.44615594722737584,0.1084839096495447,0.3477471897940217
2/3 Bed Condos Close to Disney,0.5292857142857142,0.0,0.463125
Tropical Palms Premium Loft Cottage 29,0.5453703703703705,-0.09633387445887444,0.0899673579109063
La Quinta Inn & Suites Orlando UCF,0.41083079881251816,-0.010455133908691218,0.2001799535722802
Tropical Palms Premium Three-Bedroom Cottage 40,0.043750000000000004,-0.1425,-0.08928571428571427
Mickeys Magical Escape,0.43026143790849675,0.04879629629629631,0.298215811965812
Three Bedroom Condo First Floor Gated Community,0.4833333333333333,0.875,0.5952380952380952
Homewood Suites by Hilton Orlando North Maitland,0.4287509758001563,-0.035946172248803816,0.22531213218425217
SuiteLivingPlus,0.5043081818181818,-0.025502873563218384,0.2732627591706539
La Quinta Inn & Suites Orlando Airport North,0.3726015539643889,0.022782203187618203,0.23206509726256674
SpringHill Suites by Marriott Orlando Convention Center,0.456312713059872,0.019580760062841974,0.27361336225778166
Homewood Suites by Hilton Orlando Airport,0.43477097183570407,0.037693302068302056,0.3225076119867787
Delta Hotels by Marriott Orlando Lake Buena Vista,0.41690113922535776,0.022397065897065898,0.2629387351893289
Disney&Golf Holiday Home,0.3679301075268817,-0.0025757575757575746,0.21413522012578615
Paradise Palms 4 Bedroom-3032,0.47500000000000003,0.09375,0.24625000000000002
Regal Oaks Stay Orlando,0.3166666666666667,0.08888888888888888,0.17430555555555555
Embassy Suites Orlando - North,0.4477738119288117,0.033160840794379996,0.2789816175327874
Las Palmeras by Hilton Grand Vacations,0.4258157967186705,0.04921681052900713,0.29065014873794615
Fairfield Inn & Suites by Marriott Orlando East/UCF Area,0.42618610853432287,0.15062081857536402,0.3602900609354413
Paradise Palms 6 Bedroom-3150,0.47666666666666674,-0.1111111111111111,-0.07437499999999998
Courtyard Orlando International Drive/Convention Center,0.4559642068748028,0.015684523108765537,0.28161345210345207
The Courtyard at Lake Lucerne,0.37483774250440927,0.07668898809523808,0.23453244631185818
Rosen Inn at Pointe Orlando,0.4178308092985869,-0.009437795247064291,0.21778160318902212
Magic Tree Resort,0.3758359779318428,0.15728787878787878,0.34125558249767124
Pool Paradise,0.3189444444444444,0.021500000000000005,0.14897619047619046
Hampton Inn & Suites Orlando-John Young Parkway/South Park,0.42096749441964304,0.09069990433041904,0.3445570094066336
Hampton Inn Closest to Universal Orlando,0.40065343440343437,0.0826525146547771,0.30049525585367226
Tropical Palms Standard Two-Bedroom Cottage 16,0.4618518518518518,0.1568421052631579,0.2548809523809524
Apartment Nena,0.45546875000000003,-0.09722222222222222,0.27123842592592595
Hilton Garden Inn Orlando Lake Buena Vista,0.45046741568968024,0.004058578149045075,0.25491407311639824
Vacation Home Rental Near Disney 27Il01,0.4666666666666666,-0.06666666666666667,0.19999999999999998
WorldMark Orlando Kingstown Reef,0.44659999999999994,0.175,0.32260869565217387
King Triton's Castle,0.3951666666666667,0.03078703703703704,0.22256578947368424
Closest Vacation Home Holiday Rental 26Ds37,0.4068452380952381,-0.025396825396825397,0.20513227513227514
Rosen Shingle Creek Universal Blvd,0.4905706738498466,0.05128705886333257,0.32789771891298597
Mickey's Beach House,0.5097222222222223,0.021969696969696962,0.24145833333333339
The Alfond Inn,0.5329321936566832,0.04183186295351474,0.34503323797921787
Residence Inn Orlando Convention Center,0.3803345959595959,-0.002166875522138684,0.23667067599617098
Hawthorn Suites By Wyndham Orlando International Drive,0.39467348021384474,0.015113071557417819,0.20650867404254628
Windsor Hills Resort Kissimmee - Disney Area,0.3908809523809525,-0.08700963015479143,0.12923616562009418
